Document_ID,POS_Tag,Count
1,JJ,4
1,NN,18
1,VBZ,2
1,DT,2
1,IN,4
1,PRP,2
1,NNS,3
1,TO,1
1,VB,1
1,CC,3
1,VBP,2
1,VBG,2
2,NN,9
2,VBZ,1
2,DT,3
2,JJ,4
2,IN,3
2,NNS,9
2,CC,3
2,VBP,3
2,JJR,1
2,RBR,1
2,TO,1
2,VB,1
2,RB,1
3,JJ,6
3,NNS,9
3,VBP,3
3,IN,3
3,RB,1
3,NN,9
3,CC,3
3,VB,2
3,TO,1
3,VBZ,1
