,precision,recall,f1-score,support
AI_TERM,0.0,0.0,0.0,0.0
DATE,1.0,1.0,1.0,3.0
GPE,0.7,1.0,0.8235294117647058,7.0
O,0.0,0.0,0.0,19.0
ORG,1.0,1.0,1.0,8.0
ORGANIZATION,0.0,0.0,0.0,0.0
PERSON,0.6666666666666666,1.0,0.8,8.0
PROGRAMMING_LANG,0.0,0.0,0.0,0.0
accuracy,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5777777777777777
macro avg,0.4208333333333333,0.5,0.45294117647058824,45.0
weighted avg,0.4718518518518518,0.5777777777777777,0.5147712418300654,45.0
