,Lesk,Adapted Lesk,Path Sim,WuP Sim
Lesk,11.0,1.0,1.0,0.0
Adapted Lesk,1.0,11.0,1.0,1.0
Path Sim,1.0,1.0,11.0,4.0
WuP Sim,0.0,1.0,4.0,11.0
